Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
1,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,16035,Automatique,Essence,32750
2,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23503,Manuelle,Essence,22970
3,PEUGEOT,208 phase 2,1.2 PURETECH 82 ALLURE,2020,25283,Manuelle,Essence,15350
4,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,32303,Manuelle,Essence,15600
5,PEUGEOT,308 II phase 2,1.2 PURETECH 110 ACTIVE BUSINESS,2020,74911,Manuelle,Essence,19020
6,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,60152,Manuelle,Essence,26760
7,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,24138,Manuelle,Essence,21830
8,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2022,47929,Automatique,Essence,27180
9,PEUGEOT,2008 II,II 1.2 PURETECH 130 S&S ALLURE,2021,16200,Manuelle,Essence,31180
10,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,23439,Manuelle,Essence,20690
11,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,16202,Manuelle,Essence,24990
12,PEUGEOT,2008 II,1.2 PURETECH 130 GT,2023,13201,Manuelle,Essence,28870
13,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,30820,Manuelle,Essence,25180
14,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,23052,Manuelle,Essence,20290
15,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,42627,Manuelle,Essence,18630
16,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2023,12351,Automatique,Essence,34750
17,PEUGEOT,308 III,1.2 PURETECH 130 ACTIVE PACK,2021,30195,Manuelle,Essence,23120
18,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,16035,Automatique,Essence,32750
19,PEUGEOT,308 (3E GENERATION) SW,SW 1.2 PURETECH 130 GT EAT8,2023,20191,Automatique,Essence,34000
20,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,17764,Manuelle,Essence,26050
21,PEUGEOT,208 phase 2,1.2 PURETECH 82 ALLURE,2020,25283,Manuelle,Essence,15350
22,PEUGEOT,5008 II,1.2 PURETECH 130 ACTIVE,2020,53067,Manuelle,Essence,31360
23,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,12572,Manuelle,Essence,23310
24,PEUGEOT,508 II,1.6 PURETECH 180 ACTIVE,2022,18457,Automatique,Essence,35090
25,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2021,39795,Manuelle,Essence,24960
26,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT PACK,2021,69286,Automatique,Essence,24870
27,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,66672,Manuelle,Essence,33290
28,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,14250,Manuelle,Essence,17890
29,PEUGEOT,208 (2E GENERATION),1.2 PURETECH 100 ALLURE PACK,2023,12812,Manuelle,Essence,25900
30,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,17120,Manuelle,Essence,26620
31,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,58672,Manuelle,Essence,21640
32,PEUGEOT,2008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2021,29789,Automatique,Essence,28780
33,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,24560,Manuelle,Essence,20210
34,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE PACK,2022,25448,Manuelle,Essence,28060
35,PEUGEOT,3008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2020,31474,Automatique,Essence,32950
36,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,46087,Automatique,Essence,22940
37,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,18644,Manuelle,Essence,23650
38,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,32482,Automatique,Essence,32680
39,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE PACK,2022,15368,Manuelle,Essence,22380
40,PEUGEOT,208 II,1.2 PURETECH 130 ALLURE PACK,2022,28386,Automatique,Essence,26100
41,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,26901,Manuelle,Essence,29090
42,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE PACK,2022,34125,Manuelle,Essence,21510
43,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE,2022,23948,Manuelle,Essence,24390
44,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2020,25791,Automatique,Essence,26190
45,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,49513,Manuelle,Essence,17580
46,PEUGEOT,208 phase 2,1.2 PURETECH 82 ACTIVE BUSINESS,2020,36293,Manuelle,Essence,14830
47,PEUGEOT,508 II SW,1.2 PURETECH 130 ACTIVE PACK,2022,20072,Automatique,Essence,32740
48,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2020,42634,Manuelle,Essence,23790
49,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,66761,Manuelle,Essence,25180
50,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,62069,Manuelle,Essence,22980
51,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,19919,Manuelle,Essence,30230
52,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,20481,Manuelle,Essence,20120
53,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,19871,Automatique,Essence,24710
54,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2021,24527,Manuelle,Essence,26210
55,PEUGEOT,2008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2021,29789,Automatique,Essence,28780
